indic_de,geo\time	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
JAN,AD	50029	78549	81222	83137	84484	84082	78115	78115	76246	 	 	 
JAN,AL	3134975	3149143	3152625	3170050	3184701	 	2831741	 	2898782	2895947	2892302	2886026
JAN,AM	3215800	3219234	3222953	3230086	3237976	3249482	3262650	3274285	3026878	 	 	2998577
JAN,AT	8201359	8254298	8282984	8307989	8335003	8351643	8375164	8408121	8451860	8506889	8576261	8690076
JAN,AZ	8347300	8436400	8532700	8629900	8896900	8997586	9111078	9235085	9356483	9477119	9593038	9705643
JAN,BA	3842532	3842650	3844017	3843846	3843998	3844046	3843183	3839265	3835645	3830911	 	 
JAN,BE	10445852	10511382	10584534	10666866	10753080	10839905	11000638	11094850	11161642	11180840	11237274	11311117
JAN,BG	7688573	7629371	7572673	7518002	7467119	7421766	7369431	7327224	7284552	7245677	7202198	7153784
JAN,BY	9800073	9750540	9714461	9689770	9671912	9480178	9481193	9465150	9463840	9468154	9480868	9498364
JAN,CH	7415102	7459128	7508739	7593494	7701856	7785806	7870134	7954662	8039060	8139631	8237666	8327126
JAN,CY	733067	744013	757916	776333	796930	819140	839751	862011	865878	858000	847008	848319
JAN,CZ	10198855	10223577	10254233	10343422	10425783	10462088	10486731	10505445	10516125	10512419	10538275	10553843
JAN,DE	82500849	82437995	82314906	82217837	82002356	81802257	80222065	80327900	80523746	80767463	81197537	82175684
JAN,DK	5411405	5427459	5447084	5475791	5511451	5534738	5560628	5580516	5602628	5627235	5659715	5707251
JAN,EA18	324786228	326395103	327954596	329884170	331286399	332124448	331520001	332297664	333076892	334559705	335603202	336998744
JAN,EA19	328141448	329684938	331204579	333096775	334470255	335266424	334572589	335301305	336048797	337503177	338524464	339887302
JAN,EE	1358850	1350700	1342920	1338440	1335740	1333290	1329660	1325217	1320174	1315819	1314870	1315944
JAN,EL	10969912	11004716	11036008	11060937	11094745	11119289	11123392	11086406	11003615	10926807	10858018	10783748
JAN,ES	43296338	44009971	44784666	45668939	46239273	46486619	46667174	46818219	46727890	46512199	46449565	46445828
JAN,EU27	490287461	492124110	493987245	495985066	497780439	498867771	498674980	499784361	500904699	502727059	504279004	506093761
JAN,EU28	494598322	496436597	498300775	500297033	502090235	503170618	502964837	504060345	505166839	506973868	508504320	510284430
JAN,FI	5236611	5255580	5276955	5300484	5326314	5351427	5375276	5401267	5426674	5451270	5471753	5487308
JAN,FR	62772870	63229635	63645065	64007193	64350226	64658856	64978721	65276983	65600350	65942093	66488186	66759950
JAN,FX	60963264	61399733	61795238	62134866	62465709	62765235	63070344	63375971	63697865	 	 	 
JAN,GE	4321500	4401292	4394702	4382070	4385429	4436391	4469250	4497617	 	4490498	 	 
JAN,HR	4310861											
